state,visited
Alabama,3
Alaska,2
Arkansas,2
Arizona,2
California,2
Colorado,1
Connecticut,1
Delaware,2
Florida,2
Georgia,2
Hawaii,4
Iowa,2
Idaho,1
Illinois,1
Indiana,2
Kansas,2
Kentucky,2
Louisiana,2
Maine,1
Maryland,1
Massachusetts,1
Michigan,2
Minnesota,1
Missouri,2
Mississippi,2
Montana,1
North Carolina,2
North Dakota,2
Nebraska,2
New Hampshire,1
New Jersey,2
New Mexico,1
Nevada,1
New York,2
Ohio,1
Oklahoma,2
Oregon,1
Pennsylvania,1
Rhode Island,1
South Carolina,2
South Dakota,2
Tennessee,2
Texas,2
Utah,1
Virginia,2
Vermont,2
Washington,1
Wisconsin,2
West Virginia,2
Wyoming,1
